id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,254,0,1,1,0,13,5,0,15
33,46,28,4,12,0,1,5,0,15
34,34,41,5,4,0,1,6,0,15
35,140,13,9,12,0,1,10,0,15
36,11,0,9,14,0,1,10,0,15
37,105,0,10,12,0,1,11,0,15
38,116,0,10,12,0,1,11,0,15
39,252,26,2,4,0,1,3,0,15
40,21,0,5,14,0,1,6,0,15
41,33,0,5,14,0,1,6,0,15
42,180,13,9,12,0,1,10,0,15
43,208,26,9,9,0,3,10,0,15
44,19,41,4,6,0,9,5,0,15
45,50,41,7,3,0,6,8,0,15
46,40,41,4,4,0,9,5,0,15
47,34,28,5,12,0,1,6,0,15
48,204,0,9,12,0,1,10,0,15
49,28,28,5,12,0,1,6,0,15
50,214,0,9,12,0,1,10,0,15
51,224,0,9,12,0,1,10,0,15
52,234,0,9,12,0,1,10,0,15
53,244,0,9,12,0,1,10,0,15
54,160,13,9,12,0,1,10,0,15
55,10,15,9,12,0,1,10,0,15
56,20,15,9,12,0,1,10,0,15
57,30,15,9,12,0,1,10,0,15
58,0,41,4,9,0,4,5,0,15
59,106,26,4,11,0,4,5,0,15
60,246,13,7,12,0,1,8,0,15
61,5,41,7,6,0,6,8,0,15
62,8,28,7,12,0,1,8,0,15
63,50,15,9,12,0,1,10,0,15
64,138,0,10,12,0,3,11,0,15
65,60,15,9,12,0,1,10,0,15
66,70,13,9,12,0,1,10,0,15
67,80,13,9,12,0,1,10,0,15
68,210,13,9,12,0,1,10,0,15
69,90,13,9,12,0,1,10,0,15
70,100,13,9,12,0,1,10,0,15
71,110,13,9,12,0,1,10,0,15
72,120,13,9,12,0,1,10,0,15
73,51,28,4,12,0,1,5,0,15
74,230,13,7,12,0,1,8,0,15
75,193,0,10,12,0,1,11,0,15
76,238,13,7,12,0,1,8,0,15
77,81,0,12,12,0,1,13,0,15
78,94,0,10,12,0,1,11,0,15
79,149,0,10,12,0,1,11,0,15
80,40,15,9,12,0,1,10,0,15
81,0,0,10,14,0,1,11,0,15
82,0,15,9,12,0,1,10,0,15
83,0,28,7,12,0,1,8,0,15
84,160,0,10,12,0,1,11,0,15
85,220,13,9,12,0,1,10,0,15
86,127,0,10,12,0,1,11,0,15
87,68,0,12,12,0,1,13,0,15
88,182,0,10,12,0,1,11,0,15
89,171,0,10,12,0,1,11,0,15
90,130,13,9,12,0,1,10,0,15
91,27,0,5,14,0,1,6,0,15
92,16,28,5,12,0,1,6,0,15
93,39,0,5,14,0,1,6,0,15
94,13,41,5,6,0,1,6,0,15
95,58,41,10,2,0,11,10,0,15
96,45,41,4,4,0,1,5,0,15
97,218,26,9,9,0,4,10,0,15
98,150,13,9,12,0,1,10,0,15
99,244,26,7,9,0,4,8,0,15
100,200,13,9,12,0,1,10,0,15
101,198,26,9,9,0,4,10,0,15
102,22,28,5,12,0,1,6,0,15
103,66,28,9,11,0,4,10,0,15
104,170,13,9,12,0,1,10,0,15
105,56,28,4,12,0,1,5,0,15
106,51,0,5,14,0,1,6,0,15
107,190,13,9,12,0,1,10,0,15
108,61,28,4,12,0,1,5,0,15
109,111,26,13,9,0,4,14,0,15
110,158,26,9,9,0,4,10,0,15
111,178,26,9,9,0,4,10,0,15
112,76,26,9,11,0,4,10,0,15
113,86,26,9,11,0,4,10,0,15
114,228,26,7,9,0,4,8,0,15
115,236,26,7,9,0,4,8,0,15
116,40,28,5,12,0,1,6,0,15
117,138,26,9,9,0,4,10,0,15
118,148,26,9,9,0,4,10,0,15
119,125,26,12,9,0,4,13,0,15
120,168,26,9,9,0,4,10,0,15
121,96,26,9,11,0,4,10,0,15
122,188,26,9,9,0,4,10,0,15
123,57,0,5,14,0,1,6,0,15
124,63,0,4,14,0,1,5,0,15
125,45,0,5,14,0,1,6,0,15
126,24,41,9,4,0,1,10,0,15
